LEI ,Financial Institution,,Need Financial Institutions
549300X66F41NHRM7578,Federated Bank,,
549300W424PDJPNFLY60,The Gifford State Bank,,
549300TFL8UPEHU61608,Bank & Trust Company,,
5493005QZNPGRQNTRB15,Ipava State Bank,,
549300Z8UWZMQ33WI653,Mount Vernon Bank and Trust Company,,
549300HSEF434P70U240,The Kansas State Bank,,
54930080XWOQPR6ST055,Bank of Commerce & Trust Co.,,
549300I6BXTT1NLNPE10,Catahoula - LaSalle Bank,,
549300YXCZOCW6ODIL60,CITY SAVINGS BANK & TRUST COMPANY,,
2549005NOWEBRK8ETH26,FIRST SOUTHEAST BANK,,
549300MJHRG6VMIL1B67,First State Bank,,
254900A9CML4JKHW8E85,Community First Bank,,
549300MU6FQRPD7FPQ11,Wood & Huston Bank,,
254900UEAUWHP0CJXA09,Unico Bank,,
54930023DLYUOD6GKQ42,Hawthorn Bank,,
549300EMI4DCHFPR1811,State Bank of Missouri,,
254900RVMJYWIGVSVC74,PREFERRED BANK,,
549300PZ44DNQDPOV865,Pinnacle Bank,,
549300QRH7IX8IMYTC57,Dundee Bank,,
254900JCI5NCNPHHW147,The Exchange Bank,,
549300P7T76AWIP6QL35,"Jonestown Bank and Trust Company, of Jonestown, Pennsylvania",,
549300P4SRSJ2Z85RM43,The Muncy Bank and Trust Company,,
5493008CMM76GR76GS36,Mifflinburg Bank and Trust Company,,
549300UF6Z8RGZ16RJ75,Simply Bank,,
549300JPWAKLM047FK81,Crossroads Bank,,
254900SKMGZ3MZPJ0E06,Jefferson Bank and Trust Company,,
5493007DQGMVKRNOMA84,Pioneer Bank,,
549300OBOL474MATJ593,Independence State Bank,,
549300CMO3QHQGZ2Z096,First State Bank of Campbell Hill,,
2549006REJY4ZMWEKV27,Farmers State Bank of Danforth,,
549300MJJ1F286G37Q13,The Bank of Carbondale,,
549300032FNX4IOT2T93,"Petefish, Skiles & Co.",,
25490076YOMAEM6W0N66,West Central Bank,,
549300XPRIVI6I4YR959,State Bank of Bement,,
2549006I89JVMC44TE62,Murphy-Wall State Bank and Trust Company,,
5493007W1V0GCODW0238,First Farmers State Bank,,
549300OVUSU8E87XZV67,Legence Bank,,
5493006ZPOXWU5V4FT07,Horatio State Bank,,
549300VJ9DGB4OZNPL63,Northview Bank,,
254900YIISLA68FQYZ66,United Prairie Bank,,
549300SKSQ3IYUXJCH36,Alliance Bank,,
5493001HOFQNI04A3474,ESB Bank,,
549300YSKDQJCQKT0775,Lake Central Bank,,
5493009OGIRBMW7R8T35,Bonanza Valley State Bank,,
2549002V3ASSGQWSEF62,"Farmers State Bank, S/B",,
549300D1PL8LHKCBST97,SOMERSET TRUST COMPANY,,
MCXHCL35UUWDZK7NCQ61,S&T Bank,,
549300T03X096VF60C57,American Bank & Trust,,
549300BZ038VQFB4UY84,First Community Bank,,
254900FYMABY3EPG2K50,Bank of Milton,,
549300GIXEN5875K5W17,Horicon Bank,,
549300XOWUPV4E45EE89,Farmers State Bank of Alto Pass,,
549300FQ2SN6TRRGB032,FNBC Bank & Trust,,
254900SRBPINTG8V7N66,"Pike Bancorp, Inc.",,
549300XYHH9IPC6FQW89,The Bank of Herrin,,
549300UBM8OIENB7BQ09,Farmers-Merchants Bank of Illinois,,
254900826Z45GD791J96,Grinnell State Bank,,
549300GXRG31CBWWTR70,Bedford Loan & Deposit Bank,,
5493008ZGI6EQ8RHPQ04,The State Bank,,
254900VOHINLR793U293,Highpoint Community Bank,,
549300BQRQCIPWG06A21,VALLEY PREMIER BANK,,
54930076NULTCIRS5P09,Harvest Bank,,
549300UBL8B7C63DKZ49,Sycamore Bank,,
5493001BNJ1T5ZW02635,Bank of Blue Valley,,
5493003CEZ9JGZYJ4J88,Bank of Yazoo City,,
549300ORBRXAEDTP4186,Citizens Bank,,
549300SERU6A9D2UN186,MERCHANTS & FARMERS BANK,,
549300NAIUVHH8SCGC11,Century Bank,,
549300DOV2RLYPY10B52,Mid America Bank,,
894500L05PZK2V29V567,Independent Farmers Bank,,
254900ARBVNKXMFFP204,HomePride Bank,,
549300VHRDR8FOOKPQ89,International Bank,,
25490012KFFZI81TDT02,The Fidelity Bank,,
549300P4RGN7F1H2N265,Security First Bank of North Dakota,,
549300VCTY2YYCLCZI32,Enterprise Bank of South Carolina,,
254900ZP8FK47JENCV60,Alliance Bank,,
549300OS8C7J7ZWMNL70,Burke & Herbert Bank & Trust Company,,
254900QTT4Z8ZFTP7G09,Lee Bank & Trust Company,,
549300ICVSTMS2XFXX81,Laona State Bank,,
5493006F76Q4E2E2RJ61,UNITED COMMUNITY BANK,,
549300WVVCPSUJMG9419,BLC Community Bank,,
2549006HGDHH72X1BE36,The Greenwood's State Bank,,
549300BQN8ZE9ZNZ6H24,First State Bank,,
549300YSNNGTWBX45K83,The Citizens Bank,,
254900XRQ4U9ABU6F580,D. L. Evans Bank,,
549300U8Y61UKDC5ZF50,Vermilion Valley Bank,,
549300DNRGCN05KNA737,First State Bank of Forrest,,
549300ZM3TKJVUYB3676,Central Bank Illinois,,
54930035X20L4YB6HD91,Warren-Boynton State Bank,,
2549002W5VVAQ5IH5726,Goodfield State Bank,,
5493007G4A5JH1JMER52,1st Community Bank,,
549300RIPPSJXAQKZ383,CIBM Bank,,
2549008LUH7QKMXQ8N53,Flanagan State Bank,,
2138009TTY1M4OJRXV14,BANKORION,,
254900PJUWNEQ2VZTG49,Bank of Kampsville,,
549300MP1N04YL1TZP61,Availa Bank,,
549300Z0G9HZ4ZQM2O94,CENTRAL BANK AND TRUST CO.,,
549300RP00N9TM7RLE66,Bank of Abbeville & Trust Company,,
549300MJ3JU3Z2PH5H92,Bank of Sunset and Trust Company,,
2549004W2JKWS6P17T44,United Bank of Michigan,,
254900XA5WVWGS9RET72,Little Horn State Bank,,
5493002PR22PLR6S8J02,The Fidelity Deposit and Discount Bank,,
62QLBUYGD5B0HB0RFF84,UNION STATE BANK,,
549300MY5ML47R0EMV87,Texas Heritage Bank,,
5493004VZFDQL10CF710,The Buckholts State Bank,,
5493005QU87D4OE5GZ21,First Texas Bank,,
5493006IT65TMGZIKY68,"The Poca Valley Bank, Inc.",,
254900FAEHPIBKT6SS85,The Grant County Bank,,
549300VR3QTN4GZYUR03,Bar Harbor Bank & Trust,,
5493004NH61PL6YYNH25,Provident Bank,,
549300V7VRSW36FYYJ37,Union County Savings Bank,,
549300QZDX4UOTILVF25,RSI BANK,,
25490053QEQO83AZIX15,Citizens Community Bank,,
2549005HG8EMM4748S60,Germantown Trust & Savings Bank,,
549300H1IFC5OSWPR637,The Roscoe State Bank,,
549300BGTO2X0ZFZVC45,The Lyndon State Bank,,
549300TDH15867LXRK58,The Farmers Bank of Milton,,
549300BDG3JYX3L37670,Citizens Deposit Bank & Trust,,
549300PD2JKG2Z95GK78,West Point Bank,,
549300SQ5O8V8IIQOP16,Monroe Bank & Trust,,
549300ZMSSTP768USP32,Merchants & Marine Bank,,
549300J1JK4OE41PLT95,"The Citizens Bank of Philadelphia, Mississippi",,
549300C1ICNCM0V37Y02,"First State Bank of St. Charles, Missouri",,
549300PDELOGUKYYDA02,Peoples Bank,,
549300Y785ZJTIRTXM07,Bank of St. Elizabeth,,
549300XZ04HOB5HTR562,Washington County Bank,,
5493008O3PHZLQU70I63,Southwest Capital Bank,,
5493001PJI787KH02821,Stockmans Bank,,
5493000EYTYA2T8VQA06,The Cowboy Bank Of Texas,,
549300C1YZ5ZORJBI935,"SouthStar Bank, S.S.B.",,
549300C1W6Z8G84PDE17,Citizens State Bank,,
549300C1TKOTJP9R4O15,Justin State Bank,,
549300MPDN3KQZW68M43,Chippewa Valley Bank,,
TSQQR4KZYLBZ0MLQ5D71,State Bank of Chilton,,
549300CP7747DCRW6U68,Carrollton Bank,,
254900BLPLW0LXHKFX20,Jersey State Bank,,
5493005OG185XV8M8N52,State Bank of Toulon,,
5493003K5GJU8VB60Z66,Williamsville State Bank & Trust,,
254900KWJ3ETYJGMQR60,STATE BANK OF LINCOLN,,
254900GPEJ25OTHRU605,Glenview State Bank,,
5493002RF1ERFA2XR050,Renasant Bank,,
549300KEXKSBTXDVT278,First Oklahoma Bank,,
54930035WLX14VQW9V81,Premier Bank,,
254900ARLAZ571P0Z136,INDUSTRY STATE BANK,,
549300SRO5L90DRP2664,Community First Bank,,
5493007D2VPXSKV4K019,PARTNERS BANK,,
549300T9P3WXNMXX0I34,Ixonia Bank,,
549300BYPOOVRT5LDR49,SECURANT BANK & TRUST,,
254900DTLB5WWMBJAD86,Bank Five Nine,,
5493007BMZRJFTKKNV74,Bank of Calhoun County,,
254900AB2SGNLNG06I34,The Pueblo Bank and Trust Company,,
549300VFIO7B8IHC0H05,Farmers and Drovers Bank,,
254900R51FSMCPO6HB07,The Evangeline Bank & Trust Company,,
254900T0CZ8ZKC5R7A88,LEGENDS BANK,,
5493003ZTW7YC5BMLA94,HERITAGE STATE BANK,,
54930044G6TGPFFTFM49,Bank of Washington,,
549300DU4JZVSGF3G964,Cashmere Valley Bank,,
5493009WLD1EC45QKX71,Greenleaf Wayside Bank,,
254900RR23RSFLTSP959,Legacy Bank,,
254900CHU7PX7ZS6RI74,State Bank of Waterloo,,
549300QITILXWOW8BS35,Walcott Trust and Savings Bank,,
549300181OTPC1TU7Q22,Bridge Community Bank,,
549300X2FI65C4A30O27,F & M Bank,,
549300DDDXGC8OXLNZ36,First United Bank,,
254900UO8HSLT3L5XF84,Altabank,,
549300OSYCBC27271359,Hometown Bank,,
549300P2GEYNMH5OQA71,Washington Trust Bank,,
549300VIKSC6B00SLF36,"The Farmers Bank, Frankfort, Indiana",,
549300SKTBTC2QFDKG02,Centier Bank,,
549300ZJODJ0SZUNMX12,Farmers State Bank,,
254900JG0TE6ZVYQ7857,Denver Savings Bank,,
549300P8KQYPAVPZL931,Farmers Bank and Trust Company,,
549300PRPWWDL1RI5M21,Katahdin Trust Company,,
5493003XUOO66TL0ZM91,The Peoples Bank,,
254900PF1ET8TU7AX329,First State Bank of Decatur,,
254900OTZY4BREZQZ902,Steuben Trust Company,,
549300SPVF3S3T0BYL87,Bank of Richmondville,,
549300JEHXW73XYX6533,Cattaraugus County Bank,,
5493003L2LYA333BZY52,Farmers Bank,,
254900BDGU9FU91PQA51,The Union Bank Company,,
254900FK0S1L00V2UL14,Elderton State Bank,,
549300L0KQ09W67V4228,Ennis State Bank,,
549300M6F8O82D8W2395,The Pecos County State Bank,,
2549006O1VOXO2GS6554,"BANK OF MOUNT HOPE, INC.",,
549300ZOW5Z4AZ36M223,First Exchange Bank,,
5493007RSKYSDHRL7N78,Wisconsin Bank & Trust,,
549300DDJMNOWGXL6236,Farmers Savings Bank,,
254900SL0H3ZRSDNV180,Park Bank,,
5493002FSR6V2NM1K863,Citizens Bank,,
5493003V0VOGJ2CI8520,Kennebunk Savings Bank,,
254900A1UQKL3B7FJW54,Algonquin State Bank,,
549300QX5KH5JXXMYU41,Citizens State Bank of New Castle,,
549300HIDQ8IRRU12455,Jackson County Bank,,
54930004Z0FN1LYUET14,Owen County State Bank,,
549300LNXSV7JTOU7K53,Peoples Trust and Savings Bank,,
549300KPFP1WXCNBNR50,KANZA Bank,,
5493003LIT6MPMIF5W07,Cornerstone Bank,,
5493002RL75O2Y62Z184,The Savings Bank,,
5493004OOUJA3N8LL077,Denmark State Bank,,
5493006S21NZTF9Y1L04,Farmers & Merchants State Bank,,
5493005JOVFFHEU5TF17,Bank of Luxemburg,,
549300OR8H1MIJLGWX42,Bank of Akron,,
2549002A7VC63ZJQY749,The Bank of Castile,,
549300GY4NTTEM7WWB64,Bank of England,,
549300Q16CNQMW0O1O02,The New Washington State Bank,,
OZ7MS5KHJY6WIPGXQW23,Farmers & Merchants Bank of Central California,,
5493002HK8IUOTMHKS81,"EMIGRANT MORTGAGE COMPANY, INC.",,
549300HG6U7GIJKDOO88,EMIGRANT FUNDING CORPORATION,,
R6KJ2D7C3UT8OVTWHS39,Union Bank and Trust Company,,
549300K7EA6G6K9GYL80,South State Bank,,
549300YKMWXBZEEA1471,Royal Bank,,
6354007NTMKKVRFIIP73,Bank of Sun Prairie,,
549300LHIG86DP0JR819,POINTWEST BANK,,
549300OYN1WD4APNOU82,First State Bank,,
549300BMHSUCH6UGU556,Farmers & Stockmens Bank,,
549300HDE2HTZZL30G11,PINE COUNTRY BANK,,
5493007SZD2OVPMXT217,The Middlefield Banking Company,,
549300LDX1HCIL448282,BOM Bank,,
549300HR2TLJ7IGFMV18,Blue Grass Savings Bank,,
549300L0RZ1NED0NV967,Citizens Bank & Trust Company,,
5493006PPKT0LNNVOC35,Feliciana Bank & Trust Company,,
549300A6T9G3QXH9KZ27,Farmers and Merchants Bank,,
254900RD08FFMO7DRN13,Cross County Bank,,
5493003XL7HDGFTGQI87,Kentland Bank,,
549300NBFK4GO76FTE84,CNB Bank,,
5493008M2HP1C1B9LU12,"PEOPLESBANK, A CODORUS VALLEY COMPANY",,
54930058F1PNDGW35714,Farmers State Bank,,
549300SCFU7K14E0J331,Lake Area Bank,,
549300RPDWEFBGPJPW67,First Bank & Trust Company,,
254900XSTAR7AIPG0A39,Community Bank of Louisiana,,
5493001TKHVR1XBO7H51,McKenzie Banking Company,,
5493002YYAGPQ7L1YS68,Middletown Valley Bank,,
549300S46DHLT3EQ9F05,Citizens Alliance Bank,,
549300BJ6EOJ9EF6JB96,Wells Bank,,
549300G8SAGXEDF5FK39,First Guaranty Bank,,
5493005WCUTOOZMTV053,First Liberty Bank,,
5493001IZBTDOCW8MX74,Farmers and Merchants Bank of St. Clair,,
2549006MTEQ1VE0AAQ20,Pinnacle Bank,,
OTQ7L99FG3H1GQVQBT56,Blackhawk Bank,,
549300Q9WQZE336R0U94,Kensington Bank,,
549300GQOPGZ1DO0MZ49,The Peoples State Bank,,
0L0W72STJN2EGP1X2N39,KLEINBANK,,
549300D7AV8NGI6N3S98,Northfield Savings Bank,,
549300I3PFIO81O8JD40,Union Bank,,
5493006WZJUEUK1TVM53,Peoples Trust Company of St. Albans,,
549300Y61M2X3WRROA86,Bank of Weston,,
254900MMTF4DOQ9XV924,Marion Bank & Trust Company,,
549300XY02VS45I5ZZ90,Lincoln Savings Bank,,
549300EXKS98GEONUS84,Farmers State Bank,,
549300MKT4KNKP08CQ45,Northway Bank,,
254900ALCPGGRYFG8I88,Fidelity Bank,,
25490000VM5YTLF4NM50,Focus Bank,,
5493008OQHUQJ5KP2L65,Walters Bank and Trust Company,,
254900QQZUS3XZMKYY67,UNITED SECURITY BANK,,
549300S8PW45KP1BXG51,Horizon Bank,,
549300179EG8J5FHBS95,Commercial Bank and Trust of PA,,
5493008WWKO0RD22RN65,United Bank of Union,,
2549004ZRHLORHQ9LT73,Exchange Bank,,
254900FW2KC6CZHVQW30,Federation Bank,,
549300YHEI1EIYO6OO67,Jersey Shore State Bank,,
549300WI0D85GPCMEM61,The First State Bank,,
549300P8W7NTNS3TVK84,Fidelity Bank & Trust,,
549300J3TZX7Q4LX5I08,American Interstate Bank,,
5493003Y4D5054GY3J13,City State Bank,,
549300YHR41F57LS0R28,Farmers and Merchants Union Bank,,
549300MOKX1F2TX1WK17,Citizens Bank,,
549300DFV63SJPNIII97,HomeBank,,
254900EDYO1UYWLWP146,CNB Bank Inc.,,
54930000ZYOSM7IG6Q56,Union State Bank of West Salem,,
549300H3GIHYP3MB0302,Farmers State Bank,,
549300IFOE4SCP384147,University Bank,,
549300I2ZQ0VQPC4Z224,Community Point Bank,,
54930003F1EMW6SYJ110,UNITED BANK,,
254900SPZRGOBHSHRP90,Community Savings Bank,,
254900AU2FARCMPNA566,Bank of Holland,,
549300TZ2F3RROX2Q179,The Commercial Bank,,
549300FVMNIRTHZI8Z30,Community Bank,,
549300ZWA6HRT4N1Z222,Hills Bank and Trust Company,,
549300JMCI45DZ4YNK98,TrustBank,,
5493001T5XHDLC6XNM27,Landmark Bank,,
549300J8HNLGP2HYNE66,Industrial Bank,,
2549004ZXY9EU7HDZ606,Iowa Savings Bank,,
254900QIPUZ7PAK59X63,Peoples Bank,,
549300UMP0GPLDSH4L61,Cedar Valley Bank & Trust,,
2549003KE4TBG4N5AY60,Union Bank,,
549300DO5YMN2M8SMI23,Frontier Bank,,
549300JDJ660YLLPS872,"Williamstown Bank, Inc.",,
549300N6Z26TGI202D22,River Town Bank,,
549300LC0BP2X1F6BE13,DMB Community Bank,,
549300JS5JD63G4G8809,First Bank & Trust,,
2549006SH1GKAA6QVG47,BANK OF MADISON,,
549300X3PFQJ32XJSB27,mBank,,
549300LZLYU85WF65870,MidWestOne Bank,,
549300E035FX7XMJ6713,Citizens Bank,,
549300J0CKZA0PR2DX58,The Gratz Bank,,
549300UVZVO175SZ2808,Platte Valley Bank of Missouri,,
549300H5B5USE8BS1V31,The Farmers Bank,,
549300XZB7LPI2LTGX17,BANK OF DIXON COUNTY,,
254900Z9CBWZF8ECUS45,Collins State Bank,,
549300THLH8NJUNMGF13,F&M Bank,,
549300RIR04Y64SF4306,Kish Bank,,
549300R8LYY54XS86414,First State Bank and Trust,,
254900SKRYMF38M2P535,UNION STATE BANK,,
549300L8KOGOW7X6DY09,The Farmers State Bank,,
5493008FT4WVSLWPKG77,River Bank,,
254900ZCC2M5LEMAEK61,Farmers StateBank of Munith,,
549300VIZR4H7AB15496,First State Bank,,
21380055IMHX3N5UL146,VALLEY STATE BANK,,
549300HWFLUA8V78OT27,The Peoples Community Bank,,
549300DFQP4S0ZYOBT18,First State Bank,,
549300DK682S26NIMG70,Arthur State Bank,,
549300DZ25WXQZZ57J48,State Bank of Cross Plains,,
5493003F21XWNPQFEE34,Bank of York,,
2549008SG8GC5XJ48M17,The Citizens State Bank,,
5493008L7BNNEPSS6V79,Citizens State Bank of La Crosse,,
549300SK86EFHGUY2C52,Bank of Wisconsin Dells,,
549300ZP58VS10D8CK07,The Farmers State Bank of Westmoreland,,
549300KOEN7O8EYN8207,First State Bank,,
O4XVIZ10YPQYFKUKCF76,Dubuque Bank and Trust Company,,
549300VGTHKRGXF7GQ17,The Bank of Kaukauna,,
549300F247N2IU8SC024,First Business Bank,,
254900X5QCTPBYKG4S42,Northern State Bank,,
549300MIICHJBUDK6R97,United Citizens Bank & Trust Company,,
549300BP2WBHKWIZA420,The Farmers State Bank,,
2549006YTBW0GRVA9N57,People's Savings Bank of Rhineland,,
549300D6J5NNUQ1QZ810,First State Bank,,
5493004Z2SGQGCU5RB44,Heritage Community Bank,,
549300NUL8P98XDLUL67,Texas First State Bank,,
254900UA19NBVHVPQ177,The Denison State Bank,,
549300RTWPH3HXUWR160,"CB&S Bank, Inc.",,
549300LK4WOVIJ8FAK87,Silver Lake Bank,,
254900J2U7OF6AWF3P54,Security Bank & Trust Company,,
5493000XJFWT2H46HI07,Southern Bank and Trust Company,,
254900SRWC0U4V5XQ024,Bank of Stockton,,
2549000ZEJPSBH6OSH79,The Henry County Bank,,
5493002VU8UKLJWSXG84,Houghton State Bank,,
549300ZR4W4QC0CKBE55,Legacy Bank,,
549300YMEOE50UQ6NM87,American Bank of Missouri,,
254900YUF5NHPY7YH136,Chelsea Savings Bank,,
549300B934MYWT57IX38,Lake Elmo Bank,,
549300L6SV1WXLO6BB96,State Bank of De Kalb,,
549300CN9XK83EUACJ34,United Southern Bank,,
3F3G50WF6GG95B8BM859,"FIRST HOLDING COMPANY OF CAVALIER, INC.",,
549300YDU8N5KZBYRU81,Coleman County State Bank,,
549300ANE43ZL0O8VZ13,"First State Bank of Blakely, Inc.",,
549300911X1OUPJU7Y90,Citizens State Bank,,
549300R8N9KVQUKVNJ71,First State Bank,,
254900HEPQK96AEXHS12,Frontier Bank,,
254900CYWJYH3ES8BV63,Pioneer Bank & Trust,,
213800K8DDKEL9X4OK57,FIRST SOUTHERN BANK.,,
549300NZ54QGM0WNLC84,Hoosier Heartland State Bank,,
5493003UOOGMBX60WN07,First Bank of Coastal Georgia,,
549300YC5JEEQWXGT826,First State Bank,,
2549001ZKSRACE7NQQ84,The Hamilton Bank,,
549300DUVDQ4UATCVD64,Farmers and Merchants State Bank,,
89Z2WRK82BORVH42CP71,West Bank,,
549300LCSS511JWT1A44,Greenfield Banking Company,,
5493006XPYTPLP6BLN10,Alliance Bank Central Texas,,
549300SUOO1RFWRM7N78,The Peoples Bank,,
549300LPLWFD36TB5P09,The Bank Of Clarendon,,
549300WD5Y35T6978X73,Bank of Ripley,,
549300O21ZSMIFYKF479,Border Bank,,
EBUZWPCV9RVYQNH5Q559,BENEFICIAL BANK,,
2549008AGLU4AEH9GZ71,Pineland Bank,,
5493007TX73PE04VDT88,The Seymour Bank,,
549300YFEWUJMPG9CN91,Town & Country Bank and Trust Company,,
549300R92KASZD16MT49,Security Savings Bank,,
549300CQG2T7TCGY8Q67,First State Bank,,
2549004VOV9Z4QJDLG33,Peoples Bank of Moniteau County,,
549300WD04PCWCETKZ02,Premier Community Bank,,
254900QHVEKSYGXQ5V47,FIRST STATE BANK OF WABASHA,,
254900F6O4NCRVOV3J04,Iowa State Bank,,
549300KLIO6FT2J64B78,Security State Bank & Trust,,
5493001VZ9FY8HZOGY74,Bank of Early,,
549300C5GU86M1X2DG56,Central Bank & Trust Company,,
254900LWEI3KP9RMPK59,Northwest Bank & Trust Company,,
254900NF3CKCVLIL5319,SECURITY STATE BANK,,
54930023C70YMJJDRL61,Savings Bank of Danbury,,
549300M723MK3TTJ2783,The Citizens Bank,,
54930031J7H4SYRYIZ87,The Citizens Bank,,
5493007B7MEWKMDWUZ73,Guaranty Bank and Trust Company,,
95JW06YV3JUTCH0IJV88,Fulton Savings Bank,,
549300ODXRVTZ21MSR34,Rondout Savings Bank,,
5493008GTOZI3HQKE634,Ulster Savings Bank,,
549300NVMV4W48B8SC18,Watertown Savings Bank,,
549300TZDKJ07KL8T621,PCSB Bank,,
5493000I54FJ7EG6WZ24,Exchange Bank,,
549300RWP6SKF6EZZP82,Dime Community Bank,,
549300YLIY5SO2XSK094,Ridgewood Savings Bank,,
549300G4F3X6FTMZP579,Rhinebeck Bank,,
549300J59G4M2OH83E71,Sawyer Savings Bank,,
549300M5DZ6P9KNT7H33,The Bank of Elk River,,
254900GRI3U90GF3IF79,First State Bank of Wyoming,,
549300M6EHOPLD2SFD66,The Milford Bank,,
549300TN0C13QXN1P552,Highland Bank,,
549300YBDQ281GX1LB13,Farmers State Bank & Trust Co.,,
549300HXEGS61WUUIM55,TRI-PARISH BANK,,
549300OZM8CQ84QZFF17,Sherwood Community Bank,,
549300ZXXYWVD5ZXYN28,The Eastern Colorado Bank,,
5493003H8ECZKN77IZ88,Waukesha State Bank,,
549300D214S3L7KZ0515,CRESCENT MORTGAGE COMPANY,,
549300JE6M4A1G4LPS75,The Bank of Missouri,,
549300BWXUPDS3PDOL40,West Alabama Bank & Trust,,
549300J99UM25CTWNN58,First State Bank,,
549300DQG9B47MV1MR51,"The Samson Banking Company, Inc.",,
549300FVJ3IB88LTR841,Stockman Bank of Montana,,
549300HTZK86GTZ3J496,Bank of Wolcott,,
549300KCR7QWQQCWBG94,Reliabank Dakota,,
549300PUSHGXQLDM7552,The Sherwood State Bank,,
549300CYJ26CMPBOQ670,ELSA STATE BANK AND TRUST COMPANY,,
549300J0CQITHCF2G618,Bank of Eastern Oregon,,
549300UV5JQXLGVWIP44,Devon Bank,,
254900WQBZOLXT53K570,Peoples Bank,,
254900IVR37DW5QD1I94,South Coast Bank & Trust,,
549300MQKEHKJXUWM405,Southern Bank,,
254900U7G0LJ4QNSFC86,Manufacturers Bank & Trust Company,,
254900N4XMPM37K77D58,First State Bank,,
549300V4UDO1FVIAXD70,The Citizens Bank,,
549300AVPHLU4B5OCA51,HOMESTAR BANK AND FINANCIAL SERVICES,,
2549000A72B92T5BS479,Bank of Travelers Rest,,
549300G5DUB6RE1MCL12,The Bennington State Bank,,
2549003IXQM06TTWQV75,Andover State Bank,,
5493003SOHU5A9BPKB06,Citizens Bank & Trust Company,,
5493003WYI2EHBUFIE36,NXT Bank,,
254900W3BV7YZMPN0N58,CITIZENS BANK OF FLORIDA,,
549300O7SGM8FH65GQ47,Busey Bank,,
549300GKZTKVQFQNP844,Whitesville State Bank,,
549300RXHLK3XT6SD946,Jefferson Bank,,
549300110N83KRID7Q56,Longview Bank and Trust,,
549300K3SVNVK97FCP36,Metairie Bank & Trust Company,,
5493006BPEIMPS70UU26,Ozark Bank,,
549300RO0FORROX83086,"Jeff Davis Bancshares, Inc.",,
254900PKDTFIJ2XB1675,The Bank of Old Monroe,,
254900FG1PR8UNV77C36,CCB Community Bank,,
254900Y0OOKETVQMUW35,Farmers and Merchants Bank of South Carolina,,
254900DRRUT25BYSOL40,Bank Northwest,,
54930011U6TQ5MJCDV15,ESB Financial,,
54930002M4XN64FM7Z89,The Torrington Savings Bank,,
5493003JGY7VFGEGT744,Southwest Bank,,
5493001FOLPDJ44AZD23,Northeast Bank,,
254900UISKR0QR32CI62,Itasca Bank & Trust Co.,,
5493005FO541ADHSMJ24,Washington State Bank,,
54930094EUD08LZEJR51,Gibsland Bank & Trust Company,,
549300U2ACJ0QKSFKY48,Carolina Bank & Trust Co.,,
549300DLHIZLJ7617Q04,Citizens State Bank,,
549300M20N1NQO7LMK11,The Campbell & Fetter Bank,,
549300KJ8PAJ7E52HG32,Plains Commerce Bank,,
549300NQ6JHMRWQ5IH65,Farmers and Merchants Bank,,
549300WV31PDXKIYPW48,Citizens Bank,,
549300P72SW4OU64XR31,The Bank of Glen Burnie,,
5493002W6KWD0REQ1T16,SunMark Community Bank,,
549300RP0N2VARTRFQ77,River Falls State Bank,,
5493007BBMW58UQT5588,First Arkansas Bank and Trust,,
549300WHACUOETOKO184,First American Bank and Trust Company,,
5493003JI7ZC424UAF50,Citizens Independent Bank,,
T68X8LLAQYRNDV034K14,United Community Bank,,
549300GMJ6RM02VXK542,Pilgrim Bank,,
549300XP5418ENGZVD49,F&M Bank,,
549300BG5GYUSWMP2R94,UBank,,
549300BIN8FZ4Z1IX347,The Farmers State Bank,,
549300WYC8C6REMY4E38,Minnwest Bank,,
549300C4CKL0HRXJ3085,The Farmers Bank,,
254900DEMD2F6Z046A71,The Peoples Bank,,
549300R0DP2GXAIMGB41,Bank of Colorado,,
549300F1D8U51K67LV24,First Century Bank,,
254900KOW652UXXY2V12,First Security Bank & Trust Company,,
549300TMWSYX6B5ZOK69,Wilson & Muir Bank & Trust Company,,
549300VTVP64BKEO3L58,Mountain Valley Bank,,
549300AR1PZJHZ7BYH72,Labette Bank,,
549300XARD788LSGZW76,First US Bank,,
25490042U20KHEG3IS24,Persons Banking Company,,
549300I72FXKCNGRQC43,HomeBank Texas,,
25490070QB5LWJ9JID79,"Community Bank & Trust, Waco, Texas",,
549300W4TWSN8U8TGD72,Citizens Bank of Lafayette,,
2549007UK2BZOOSF6C76,First Security Bank,,
549300JPU10TNVWFRE67,Artisans' Bank,,
5493002JV15GSVFKZW34,Intercity State Bank,,
5493000H7FLU47PQYQ10,Heritage Bank,,
2549006KT1XNB09W2M78,Dairy State Bank,,
549300O9LSS2ZBG6YY12,State Bank & Trust Company,,
549300S61HFNW2YFEK61,United Bank,,
5493000EAQ6YVQD0ZB49,Western Bank,,
254900LBMDUHY340Y645,Citizens State Bank of Sealy,,
549300JH6IWUYV8WYT95,Sidney State Bank,,
549300TPAN1WJY46W431,Essex Savings Bank,,
54930038YN5XV3SDVZ83,BankIowa of Cedar Rapids,,
2549009ACXPW8YN9HB36,Peoples Bank of Greensboro,,
5493005R24FV5DFFXW42,Central Pacific Bank,,
2549004ADMJPZVEZZC51,Peoples Bank & Trust,,
549300F04B6FGYBJY412,First State Community Bank,,
549300LIPY4ISRLGTF16,Bank of Dickson,,
254900DJ8WC0BQHYR275,South Story Bank & Trust,,
2549002KNNRT791PG760,Farmers and Merchants Bank,,
